term,code
kounis syndrome,C14.280.647.375
"substance abuse, oral",C25.775.814
smoldering multiple myeloma,C04.834.794
essential hypertension,C14.907.489.165
cardiac conduction system disease,C14.280.123
"hypoadrenocorticism, familial",C19.053.500.263.500
heavy metal poisoning,C25.723.522
immunoglobulin light-chain amyloidosis,C04.557.595.250
solitary kidney,C12.050.351.875.846
charles bonnet syndrome,C10.597.606.762.300.500
injection site reaction,C23.550.340.500
clinical deterioration,C23.550.291.656.350
alcoholic korsakoff syndrome,C10.597.606.525.400.500
travel-related illness,C23.888.914
"communicable diseases, imported",C01.221.625
diverticular diseases,C06.405.205.282
neonatal brachial plexus palsy,C10.668.829.100.750
neurolymphomatosis,C10.551.568
adenocarcinoma of lung,C04.557.470.200.025.022
squamous cell carcinoma of head and neck,C04.557.470.200.400.565
"chondrosarcoma, clear cell",C04.557.450.565.280.140
"carcinoma, ovarian epithelial",C04.557.470.200.295
sleepiness,C23.888.900
"thyroid cancer, papillary",C04.557.470.200.025.085.612
nasopharyngeal carcinoma,C04.557.470.200.623
craniofacial fibrous dysplasia,C05.116.099.708.375.286
esophageal squamous cell carcinoma,C04.557.470.200.400.330
"urinary bladder, underactive",C12.050.351.968.829.867
healthcare-associated pneumonia,C01.248.250
post-lyme disease syndrome,C01.150.252.400.536.850
gata2 deficiency,C15.378.190.625.265
cauda equina syndrome,C10.668.829.550.350
immunoglobulin g4-related disease,C20.111.572
cone dystrophy,C11.270.151
myopericytoma,C04.557.450.565.545
pancreatic intraductal neoplasms,C04.557.470.615.665
body-weight trajectory,C23.888.144.243.463
gestational weight gain,C23.888.144.243.926.500
"obesity, maternal",C12.050.703.417
vaccine-preventable diseases,C01.918
vector borne diseases,C01.920
narcotic-related disorders,C25.775.643
rumination syndrome,C06.405.609
opioid-induced constipation,C23.888.821.150.500
postoperative cognitive complications,C23.550.767.831
extranodal extension,C04.697.650.280
anomalous left coronary artery,C14.240.400.210.125
univentricular heart,C14.240.400.990
congenitally corrected transposition of the great arteries,C14.240.400.915.150
hamman-rich syndrome,C08.381.483.652.500.500
pancreaticobiliary maljunction,C06.130.120.250.640
chronic urticaria,C17.800.862.945.533
synesthesia,C10.597.606.762.850
cyclodialysis clefts,C11.250.105.250
uveal effusion syndrome,C11.250.105.500
choroidal effusions,C11.250.105
meibomian gland dysfunction,C11.338.780
optic nerve hypoplasia,C10.292.700.463
familial exudative vitreoretinopathies,C11.250.345
retinal arterial macroaneurysm,C11.768.346.500
stargardt disease,C11.270.872
white dot syndromes,C11.941.879.780.900.650
multifocal choroiditis,C11.941.160.478.550
birdshot chorioretinopathy,C11.768.773.348.500
locked-in syndrome,C10.597.622.760.500
cytokine release syndrome,C23.550.470.790.250
diffuse intrinsic pontine glioma,C04.557.465.625.600.380.185
asthma-chronic obstructive pulmonary disease overlap syndrome,C08.127.108.688
sudden unexpected death in epilepsy,C10.228.140.490.746
undiagnosed diseases,C23.550.291.968
synucleinopathies,C10.574.928
shoulder dystocia,C12.050.703.420.288.364
specific language disorder,C10.597.606.150.500.550.500
mandibular nerve injuries,C07.465.299.625.500.349.750
post-cardiac arrest syndrome,C10.228.140.199.850
bone marrow failure disorders,C15.378.190.223
congenital bone marrow failure syndromes,C15.378.190.223.500
shwachman-diamond syndrome,C06.689.276.500
hepatic infarction,C06.552.289
autoimmune pancreatitis,C06.689.750.830.500
ototoxicity,C09.218.788
toxic optic neuropathy,C10.292.200.750.500
pulmonary arterial hypertension,C08.381.423.847
myotoxicity,C05.651.682
"pancreatitis, acute hemorrhagic",C06.689.750.325
accidental injuries,C26.040
primary immunodeficiency diseases,C16.320.798
hereditary complement deficiency diseases,C16.320.798.500
squamous intraepithelial lesions,C23.149.688
internal hernia,C23.300.707.960
paraduodenal hernia,C23.300.707.960.750
kimura disease,C07.465.815.178
developmental dysplasia of the hip,C05.550.518.384.500
cerebral cortical thinning,C10.597.210
"warburg effect, oncologic",C04.697.098.500.580
ovarian torsion,C12.050.351.500.056.630.728
aortic valve disease,C14.280.484.048
bicuspid aortic valve disease,C14.240.400.186
quadricuspid aortic valve,C14.240.400.818
aortico-ventricular tunnel,C14.240.400.118
colitis-associated neoplasms,C04.588.274.476.411.307.180.400
popliteal artery entrapment syndrome,C14.907.137.671
laminopathies,C16.320.488
reinjuries,C26.741
x-linked emery-dreifuss muscular dystrophy,C05.651.534.500.350.500
autosomal emery-dreifuss muscular dystrophy,C05.651.534.500.350.250
chronic exertional compartment syndrome,C05.651.180.180
ischemic stroke,C10.228.140.300.775.400
thrombotic stroke,C10.228.140.300.775.400.750
embolic stroke,C10.228.140.300.775.400.375
hemorrhagic stroke,C10.228.140.300.775.300
persistent left superior vena cava,C14.240.850.930
opiate overdose,C25.775.383.500
tinea cruris,C01.150.703.302.720.745
reinfection,C23.550.291.937.250
cardiac papillary fibroelastoma,C04.588.894.309.250
chemotherapy-related cognitive impairment,C25.100.429
semicircular canal dehiscence,C09.218.568.900.663
hyperthermia,C23.888.119.455
severe fever with thrombocytopenia syndrome,C01.920.930.831
latent infection,C01.550
hyperferritinemia,C18.452.565.300
"mesothelioma, malignant",C04.557.470.035.510.757
covid-19,C01.748.610.763.500
anosmia,C10.597.751.600.500
rhinorrhea,C23.888.852.834
viral zoonoses,C01.925.933
bacterial zoonoses,C01.150.252.162
blood-borne infections,C01.221.250
mania,C10.597.606.483
diaschisis,C10.228.140.390
radiation fibrosis syndrome,C23.550.355.663
corticobasal degeneration,C10.574.945.312
vascular depression,C10.228.140.300.794
minoca,C14.280.647.500.328
persistent infection,C01.645
body odor,C23.888.104
axial spondyloarthritis,C05.116.900.853.625.800.744
non-radiographic axial spondyloarthritis,C05.116.900.853.625.800.744.250
chronic limb-threatening ischemia,C14.907.137.126.307.500.500
erythema ab igne,C17.800.229.100
ambulatory care sensitive conditions,C23.550.291.156
livedoid vasculopathy,C14.907.355.830.573
intestinal failure,C06.405.469.462
mast cell activation syndrome,C20.762.500
focal facial dermal dysplasias,C16.131.077.350.568
mast cell activation disorders,C20.762
iron deficiencies,C18.452.565.400
homozygous familial hypercholesterolemia,C16.320.565.398.481.500
neuroinflammatory diseases,C10.586
thromboinflammation,C14.907.355.830.749
psychogenic nonepileptic seizures,C10.597.742.357
weight cycling,C23.888.144.243.926.750
urogenital diseases,C12
genital diseases,C12.100
achlorhydria,C06.405.748.045
achondroplasia,C05.116.099.343.110
acid-base imbalance,C18.452.076
acidosis,C18.452.076.176
"acidosis, lactic",C18.452.076.176.180
"acidosis, renal tubular",C12.050.351.968.419.815.093
"acidosis, respiratory",C08.618.846.093
acinetobacter infections,C01.150.252.400.560.022
acne vulgaris,C17.800.030.150
vestibulocochlear nerve diseases,C09.218.807.800
acquired immunodeficiency syndrome,C01.221.250.875.040
acrocephalosyndactylia,C05.116.099.370.894.232.015
acrodermatitis,C16.131.831.066
acrodynia,C10.668.829.025
acromegaly,C05.116.132.082
"acth syndrome, ectopic",C04.730.713.317
actinobacillosis,C01.150.252.400.700.030.178
actinobacillus infections,C01.150.252.400.700.030
actinomycetales infections,C01.150.252.410.040
actinomycosis,C01.150.252.410.040.137
"actinomycosis, cervicofacial",C01.150.252.410.040.137.316
acute disease,C23.550.291.125
acute-phase reaction,C23.550.470.099
adams-stokes syndrome,C14.280.067.558.137
addison disease,C19.053.500.263
adenocarcinoma,C04.557.470.200.025
"adenocarcinoma, papillary",C04.557.470.200.025.085
adenofibroma,C04.557.450.565.590.595.050
adenolymphoma,C04.557.435.075
adenoma,C04.557.470.035
"adenoma, basophil",C04.557.465.625.650.075
"adenoma, chromophobe",C04.557.465.625.650.095
"adenoma, acidophil",C04.557.465.625.650.025
adenoviridae infections,C01.925.256.076
"adenovirus infections, human",C01.925.256.076.045
tissue adhesions,C23.550.355.274.840
adie syndrome,C10.177.045
adiposis dolorosa,C17.800.463.249
adnexal diseases,C12.050.351.500.056
pelvic inflammatory disease,C01.635.500
adrenal cortex diseases,C19.053.098
adrenal cortex neoplasms,C04.588.322.078.265
adrenal gland diseases,C19.053
adrenocortical hyperfunction,C19.053.800
adrenal insufficiency,C19.053.500
adrenal gland neoplasms,C04.588.322.078
"adrenal hyperplasia, congenital",C12.050.351.875.253.090.500
adrenal rest tumor,C04.557.470.035.232
adrenoleukodystrophy,C10.228.140.163.100.084
aerophagy,C23.888.821.061
afferent loop syndrome,C06.405.469.531.099
afibrinogenemia,C15.378.100.100.056
african horse sickness,C01.920.500.030
african swine fever,C01.920.930.125
agammaglobulinemia,C15.378.147.142
ageusia,C10.597.751.861.184
agnosia,C10.597.606.762.100
agranulocytosis,C15.378.553.546.184
agraphia,C10.597.606.150.500.050
agricultural workers' diseases,C24.080
aids-related complex,C01.221.250.875.080
ainhum,C05.116.264.143
airway obstruction,C08.618.846.185
akinetic mutism,C10.228.140.042
albinism,C11.270.040
albuminuria,C12.050.351.968.934.734.269
alcohol amnestic disorder,C10.720.112.100
alcohol withdrawal delirium,C10.720.112.200
alcoholic intoxication,C25.775.100.175
alcoholism,C25.775.100.250
aleutian mink disease,C01.925.256.700.091
alkalosis,C18.452.076.354
"alkalosis, respiratory",C08.618.501.271
alkaptonuria,C16.320.565.100.187
alopecia,C17.800.329.937.122
alopecia areata,C17.800.329.937.122.147
"mucinosis, follicular",C17.300.550.550
altitude sickness,C08.618.020
"alveolitis, extrinsic allergic",C08.381.483.125
alzheimer disease,C10.228.140.380.100
amblyopia,C10.228.140.055
amebiasis,C01.610.752.049
ameloblastoma,C04.557.695.065
amelogenesis imperfecta,C07.650.800.255.500
amenorrhea,C23.550.568.500
"amino acid metabolism, inborn errors",C16.320.565.100
renal aminoacidurias,C12.050.351.968.419.815.885
amnesia,C10.597.606.525.100
"amnesia, retrograde",C10.597.606.525.100.150
amniotic band syndrome,C16.614.042
"amputation, traumatic",C26.062
amyloidosis,C18.452.845.500
amyotrophic lateral sclerosis,C10.228.854.139
anal gland neoplasms,C04.588.083
"pain insensitivity, congenital",C10.668.829.700
anaphylaxis,C20.543.480.099
anaplasia,C04.697.045
anaplasmataceae infections,C01.150.252.400.054
anaplasmosis,C01.150.252.400.054.500
ancylostomiasis,C01.610.335.508.700.775.455.154
anemia,C15.378.071
"anemia, aplastic",C15.378.071.085
"anemia, dyserythropoietic, congenital",C15.378.071.141.150.095
"anemia, hemolytic",C15.378.071.141
"anemia, hemolytic, autoimmune",C15.378.071.141.125
"anemia, hemolytic, congenital",C15.378.071.141.150
"anemia, hemolytic, congenital nonspherocytic",C15.378.071.141.150.100
"anemia, hypochromic",C15.378.071.196
"anemia, macrocytic",C15.378.071.252
"anemia, megaloblastic",C15.378.071.252.196
"anemia, myelophthisic",C15.378.071.307
"anemia, neonatal",C15.378.071.363
"anemia, pernicious",C15.378.071.252.196.500
"anemia, refractory",C15.378.071.400
"anemia, refractory, with excess of blasts",C15.378.071.400.080
"anemia, sickle cell",C15.378.071.141.150.150
"anemia, sideroblastic",C15.378.071.419
anencephaly,C10.500.680.196
aneuploidy,C23.550.210.050
aneurysm,C14.907.055
"aneurysm, dissecting",C14.907.055.050
"aneurysm, infected",C01.069
angina pectoris,C14.280.647.187
"angina pectoris, variant",C14.280.647.187.150.150
"angina, unstable",C14.280.647.187.150
angioid streaks,C11.768.094
angiokeratoma,C04.557.645.115
fabry disease,C10.228.140.163.100.435.825.200
angiolymphoid hyperplasia with eosinophilia,C15.378.553.231.085
angiomatosis,C14.907.077
angioedema,C14.907.079
animal diseases,C22
aniseikonia,C11.744.116
ankylosis,C05.550.069
anodontia,C07.650.800.100
anomia,C10.597.606.150.500.090
anophthalmos,C11.250.080
anorexia,C23.888.821.108
olfaction disorders,C10.597.751.600
anovulation,C12.050.351.500.056.630.050
hypoxia,C23.888.852.079
anterior compartment syndrome,C05.651.180.063
anthracosilicosis,C08.381.483.581.062.500
anthrax,C01.150.252.410.090.072
anuria,C12.050.351.968.419.078
anus diseases,C06.405.469.860.101
anus neoplasms,C04.588.274.476.411.307.790.040
"anus, imperforate",C06.198.050
aortic aneurysm,C14.907.055.239
aortic arch syndromes,C14.907.109.239
aortic coarctation,C14.240.400.090
aortic diseases,C14.907.109
aortic rupture,C14.907.055.185.125
"aortic stenosis, subvalvular",C14.280.484.048.750.070
aortic valve insufficiency,C14.280.484.048.500
aortic valve prolapse,C14.280.484.048.625
aortic valve stenosis,C14.280.484.048.750
aortitis,C14.907.109.320
aortopulmonary septal defect,C14.240.400.560.098
aphakia,C11.510.103
"aphakia, postcataract",C11.510.103.110
aphasia,C10.597.606.150.500.800.100
"aphasia, broca",C10.597.606.150.500.800.100.100
"aphasia, wernicke",C10.597.606.150.500.800.100.166
aphonia,C08.360.940.160
apnea,C08.618.085
appendiceal neoplasms,C04.588.274.476.411.184.290
appendicitis,C01.463.099
apraxias,C10.597.606.881.350
apudoma,C04.557.465.625.650.135
spider bites,C25.723.127.723
arachnoiditis,C10.586.625.097
arbovirus infections,C01.920.500
arcus senilis,C11.204.299.070
arenaviridae infections,C01.925.782.082
argyria,C17.800.621.166
arm injuries,C26.088
arnold-chiari malformation,C10.500.680.291
"arrhythmias, cardiac",C14.280.067
"arrhythmia, sinus",C14.280.067.093
arterial occlusive diseases,C14.907.137
arterio-arterial fistula,C14.240.850.984.500
arteriosclerosis,C14.907.137.126
arteriosclerosis obliterans,C14.907.137.126.114
arteriovenous fistula,C14.240.850.750.147
arteriovenous malformations,C14.240.850.750
arteritis,C14.907.940.090
arthritis,C05.550.114
"arthritis, experimental",C05.550.114.015
"arthritis, infectious",C01.100
"arthritis, juvenile",C05.550.114.122
"arthritis, rheumatoid",C05.550.114.154
arthrogryposis,C05.550.150
"arthropathy, neurogenic",C05.550.186
arthus reaction,C20.543.520.100
articulation disorders,C10.597.606.150.500.800.150
asbestosis,C08.381.483.581.125
ascariasis,C01.610.335.508.700.100.070
ascaridiasis,C01.610.335.508.700.100.080
ascites,C23.550.081
ascorbic acid deficiency,C18.654.521.500.133.115
aspergillosis,C01.150.703.080
"aspergillosis, allergic bronchopulmonary",C01.150.703.080.768.500
asphyxia,C23.550.260.095
asphyxia neonatorum,C16.614.092
asthenia,C23.888.089
asthenopia,C11.093
asthma,C08.127.108
"asthma, exercise-induced",C08.127.108.110
astigmatism,C11.744.212
astrocytoma,C04.557.465.625.600.380.080
ataxia,C10.597.350.090
ataxia telangiectasia,C10.228.140.252.190.530.060
pulmonary atelectasis,C08.381.730
athetosis,C10.597.350.110
athletic injuries,C26.115
atrial fibrillation,C14.280.067.198
atrial flutter,C14.280.067.248
atrophy,C23.300.070
"auditory diseases, central",C09.218.807.186
auditory perceptual disorders,C09.218.807.186.094
autoimmune diseases,C20.111
autolysis,C23.550.260.224.617.236
autonomic nervous system diseases,C10.177
avian leukosis,C01.925.782.815.096
"sarcoma, avian",C01.925.782.815.800
avitaminosis,C18.654.521.500.133
babesiosis,C01.610.701.688.122
back pain,C23.888.592.612.107
bacterial infections and mycoses,C01.150
bacterial infections,C01.150.252
bacteriuria,C01.915.219
bacteroides infections,C01.150.252.400.110.109
balanitis,C12.100.500.494.136
balantidiasis,C01.610.432.146
balkan nephropathy,C12.050.351.968.419.570.643.150
barotrauma,C26.120
barrett esophagus,C04.834.154
bartonella infections,C01.150.252.400.126.100
bartonellaceae infections,C01.150.252.400.126
bartter syndrome,C12.050.351.968.419.815.279
basal cell nevus syndrome,C04.182.089.530.690.150
basal ganglia diseases,C10.228.140.079
beckwith-wiedemann syndrome,C16.131.077.133
behcet syndrome,C07.465.075
beriberi,C18.654.521.500.133.699.827.223
bernard-soulier syndrome,C15.378.100.100.080
berylliosis,C08.381.483.581.225
bezoars,C26.392.183
bile duct diseases,C06.130.120
bile duct neoplasms,C04.588.274.120.250
"cholestasis, extrahepatic",C06.130.120.135.150
bile reflux,C06.130.140
biliary atresia,C06.130.120.123
biliary dyskinesia,C06.130.120.250.098
biliary fistula,C06.267.150
biliary tract diseases,C06.130
biliary tract neoplasms,C04.588.274.120
bird diseases,C22.131
bird fancier's lung,C08.381.483.125.125
birth injuries,C16.614.131
birth weight,C23.888.144.186
bites and stings,C25.723.127
"bites, human",C26.176.071
blackwater fever,C01.610.752.530.650.228
urinary bladder calculi,C12.050.351.968.829.521
urinary bladder diseases,C12.050.351.968.829
bladder exstrophy,C12.050.351.875.132
urinary bladder fistula,C12.050.351.875.881.312
urinary bladder neck obstruction,C12.050.351.968.767.700.850
urinary bladder neoplasms,C04.588.945.947.960
"urinary bladder, neurogenic",C10.597.900
blast crisis,C04.557.337.539.250.100
blast injuries,C26.120.126
blastomycosis,C01.150.703.302.055
blepharitis,C11.338.133
blepharoptosis,C11.338.204
blepharospasm,C11.338.250
blind loop syndrome,C06.405.469.637.145
blindness,C10.597.751.941.162
blister,C17.800.865.187
blood coagulation disorders,C15.378.100
blood platelet disorders,C15.378.140
blood protein disorders,C15.378.147
bloom syndrome,C16.131.077.137
bluetongue,C01.920.500.125
body temperature changes,C23.888.119
body weight,C23.888.144
body weight changes,C23.888.144.243
bone cysts,C04.182.089
bone diseases,C05.116
"bone diseases, developmental",C05.116.099
"bone diseases, endocrine",C05.116.132
"bone diseases, infectious",C01.160
"bone diseases, metabolic",C05.116.198
bone marrow diseases,C15.378.190
bone neoplasms,C04.588.149
bone resorption,C05.116.264
border disease,C01.925.782.350.675.100
bordetella infections,C01.150.252.400.143
borna disease,C01.925.782.580.124
borrelia infections,C01.150.252.400.794.352
botulism,C01.150.252.410.222.151
boutonneuse fever,C01.150.252.400.789.725.400.250
bovine virus diarrhea-mucosal disease,C01.925.782.350.675.106
bowen's disease,C04.557.470.200.400.130
bradycardia,C14.280.067.319
brain abscess,C01.207.090
brain concussion,C10.228.140.199.444.250
"brain damage, chronic",C10.228.140.140
brain death,C10.228.140.151
brain diseases,C10.228.140
"brain diseases, metabolic",C10.228.140.163
brain edema,C10.228.140.187
brain injuries,C10.228.140.199
brain neoplasms,C04.588.614.250.195
branchioma,C04.182.117
breast diseases,C17.800.090
breast neoplasms,C04.588.180
breech presentation,C12.050.703.420.183
brenner tumor,C04.557.450.565.590.595.150
bronchial diseases,C08.127
bronchial fistula,C08.127.196
bronchial neoplasms,C04.588.894.797.520.109
bronchial spasm,C08.127.321
bronchiectasis,C08.127.384
bronchiolitis,C01.748.099.135
bronchiolitis obliterans,C08.127.446.135.140
"bronchiolitis, viral",C01.748.099.135.321
bronchitis,C01.748.099
bronchogenic cyst,C04.182.195
bronchopneumonia,C01.748.610.127
bronchopulmonary dysplasia,C08.381.520.750.500
bronchopulmonary sequestration,C08.695.214
brucellosis,C01.150.252.400.167
"brucellosis, bovine",C01.150.252.400.167.322
bruxism,C07.793.099
bulimia,C23.888.821.645.500
bundle-branch block,C14.280.067.558.323
bunyaviridae infections,C01.925.782.147
burkitt lymphoma,C01.925.256.466.313.165
burning mouth syndrome,C07.465.114
"burnout, professional",C24.580.500
burns,C26.200
"burns, chemical",C26.200.156
"burns, electric",C26.200.239
"burns, inhalation",C26.200.322
bursitis,C05.550.251
byssinosis,C08.381.483.581.275
cachexia,C23.888.144.243.963.500.500
cadaver,C23.550.260.224
cadmium poisoning,C25.723.522.625
calcinosis,C18.452.174.130
calciphylaxis,C18.452.174.130.186
calcium metabolism disorders,C18.452.174
calculi,C23.300.175
callosities,C17.800.428.200
campylobacter infections,C01.150.252.400.177
candidiasis,C01.150.703.160
"candidiasis, chronic mucocutaneous",C01.150.703.160.088
"candidiasis, cutaneous",C01.150.703.160.132
"candidiasis, oral",C01.150.703.160.180
"candidiasis, vulvovaginal",C01.150.703.160.190
marijuana abuse,C25.775.635
caplan syndrome,C05.550.114.154.219
"carbohydrate metabolism, inborn errors",C16.320.565.202
carbon monoxide poisoning,C25.723.455.245
carbon tetrachloride poisoning,C25.723.177
carbuncle,C01.150.252.410.868.951.270.200
carcinoid heart disease,C04.557.465.625.650.200.500.205
carcinoid tumor,C04.557.465.625.650.200
carcinoma,C04.557.470.200
carcinoma in situ,C04.557.470.200.240
"carcinoma 256, walker",C04.557.435.290.210
"carcinoma, basal cell",C04.557.470.200.165
"carcinoma, basosquamous",C04.557.470.200.170
"adenocarcinoma, bronchiolo-alveolar",C04.557.470.200.025.022.500
"carcinoma, bronchogenic",C04.588.894.797.520.109.220
"carcinoma, brown-pearce",C04.619.124
"carcinoma, intraductal, noninfiltrating",C04.557.470.200.025.275
"carcinoma, ehrlich tumor",C04.557.470.200.200
"carcinoma, krebs 2",C04.557.470.200.255
"adenocarcinoma, mucinous",C04.557.470.200.025.075
"carcinoma, non-small-cell lung",C04.588.894.797.520.109.220.249
"carcinoma, papillary",C04.557.470.200.360
"carcinoma, renal cell",C04.557.470.200.025.390
"adenocarcinoma, scirrhous",C04.557.470.200.025.095
"carcinoma, squamous cell",C04.557.470.200.400
"carcinoma, transitional cell",C04.557.470.200.430
carcinosarcoma,C04.557.435.290
"cardiac output, low",C14.280.148
cardiac tamponade,C14.280.155
"cardiomyopathy, alcoholic",C14.280.238.057
"cardiomyopathy, dilated",C14.280.195.160
"cardiomyopathy, hypertrophic",C14.280.238.100
"cardiomyopathy, restrictive",C14.280.238.160
cardiovascular diseases,C14
carotid artery diseases,C10.228.140.300.200
carotid artery thrombosis,C10.228.140.300.200.355
carotid body tumor,C04.557.465.625.650.700.705.220
carpal tunnel syndrome,C10.668.829.500.500.200
cartilage diseases,C05.182
cat diseases,C22.180
cat-scratch disease,C01.150.252.400.126.100.150
catalepsy,C10.597.350.200
cataplexy,C10.886.425.800.200.750.500
cataract,C11.510.245
catastrophic illness,C23.550.291.250
catatonia,C10.597.606.115
cattle diseases,C22.196
causalgia,C10.177.195.200
cecal diseases,C06.405.469.110
cecal neoplasms,C04.588.274.476.411.184
celiac disease,C06.405.469.637.250
"cell transformation, neoplastic",C04.697.098.500
"cell transformation, viral",C04.697.098.500.160
cellulitis,C01.800.130
cementoma,C04.557.695.210
central nervous system diseases,C10.228
central nervous system infections,C01.207
cerebellar ataxia,C10.228.140.252.190
cerebellar diseases,C10.228.140.252
myoclonic cerebellar dyssynergia,C10.228.140.252.700.250
cerebellar neoplasms,C04.588.614.250.195.411.211
intracranial aneurysm,C10.228.140.300.510.600
"hypoxia, brain",C10.228.140.624
intracranial arteriosclerosis,C10.228.140.300.510.800
intracranial arteriovenous malformations,C10.228.140.300.520
cerebral arterial diseases,C10.228.140.300.510.200
intracranial embolism and thrombosis,C10.228.140.300.525
cerebral hemorrhage,C10.228.140.300.535.200
cerebral infarction,C10.228.140.300.150.477.200
brain ischemia,C10.228.140.300.150
"ischemic attack, transient",C10.228.140.300.150.836
cerebral palsy,C10.228.140.140.254
diffuse cerebral sclerosis of schilder,C10.114.375.112
cerebral ventricle neoplasms,C04.588.614.250.195.205
cerebrospinal fluid otorrhea,C10.597.114.500
cerebrospinal fluid rhinorrhea,C10.597.114.750
