alias,term
drug refractory epilepsy,drug resistant epilepsy
drug refractory epilepsies,drug resistant epilepsy
"epilepsies, drug refractory",drug resistant epilepsy
"refractory epilepsies, drug",drug resistant epilepsy
"refractory epilepsy, drug",drug resistant epilepsy
autoimmune hypophysitis,autoimmune hypophysitis
autoimmune hypophysitides,autoimmune hypophysitis
"hypophysitides, autoimmune",autoimmune hypophysitis
lymphoid hypophysitis,autoimmune hypophysitis
"hypophysitides, lymphoid",autoimmune hypophysitis
"hypophysitis, lymphoid",autoimmune hypophysitis
lymphoid hypophysitides,autoimmune hypophysitis
"hypophysitis, lymphocytic",autoimmune hypophysitis
"hypophysitis, autoimmune",autoimmune hypophysitis
lymphocytic hypophysitis,autoimmune hypophysitis
"hypophysitides, lymphocytic",autoimmune hypophysitis
lymphocytic hypophysitides,autoimmune hypophysitis
lymphocytic panhypophysitis,autoimmune hypophysitis
lymphocytic panhypophysitides,autoimmune hypophysitis
"panhypophysitides, lymphocytic",autoimmune hypophysitis
"panhypophysitis, lymphocytic",autoimmune hypophysitis
anti-pit-1 antibody syndrome,autoimmune hypophysitis
anti pit 1 antibody syndrome,autoimmune hypophysitis
anti-pit-1 antibody syndromes,autoimmune hypophysitis
"antibody syndrome, anti-pit-1",autoimmune hypophysitis
"antibody syndromes, anti-pit-1",autoimmune hypophysitis
"syndrome, anti-pit-1 antibody",autoimmune hypophysitis
"syndromes, anti-pit-1 antibody",autoimmune hypophysitis
idiopathic granulomatous hypophysitis,autoimmune hypophysitis
"granulomatous hypophysitides, idiopathic",autoimmune hypophysitis
"granulomatous hypophysitis, idiopathic",autoimmune hypophysitis
"hypophysitides, idiopathic granulomatous",autoimmune hypophysitis
"hypophysitis, idiopathic granulomatous",autoimmune hypophysitis
idiopathic granulomatous hypophysitides,autoimmune hypophysitis
igg4-related hypophysitis,autoimmune hypophysitis
"hypophysitides, igg4-related",autoimmune hypophysitis
"hypophysitis, igg4-related",autoimmune hypophysitis
igg4 related hypophysitis,autoimmune hypophysitis
igg4-related hypophysitides,autoimmune hypophysitis
lymphocytic infundibuloneurohypophysitis,autoimmune hypophysitis
"infundibuloneurohypophysitides, lymphocytic",autoimmune hypophysitis
"infundibuloneurohypophysitis, lymphocytic",autoimmune hypophysitis
lymphocytic infundibuloneurohypophysitides,autoimmune hypophysitis
lymphocytic adenohypophysitis,autoimmune hypophysitis
"adenohypophysitides, lymphocytic",autoimmune hypophysitis
"adenohypophysitis, lymphocytic",autoimmune hypophysitis
lymphocytic adenohypophysitides,autoimmune hypophysitis
canaliculitis,canaliculitis
canaliculitides,canaliculitis
lacrimal canaliculitis,canaliculitis
"canaliculitides, lacrimal",canaliculitis
"canaliculitis, lacrimal",canaliculitis
lacrimal canaliculitides,canaliculitis
incisional hernia,incisional hernia
"hernia, incisional",incisional hernia
"hernias, incisional",incisional hernia
incisional hernias,incisional hernia
postoperative hernia,incisional hernia
"hernia, postoperative",incisional hernia
"hernias, postoperative",incisional hernia
postoperative hernias,incisional hernia
plasmablastic lymphoma,plasmablastic lymphoma
"lymphoma, plasmablastic",plasmablastic lymphoma
"lymphomas, plasmablastic",plasmablastic lymphoma
plasmablastic lymphomas,plasmablastic lymphoma
plasmablasts diffuse large b-cell lymphoma,plasmablastic lymphoma
plasmablasts diffuse large b cell lymphoma,plasmablastic lymphoma
plasmablastic diffuse large b-cell lymphoma,plasmablastic lymphoma
plasmablastic diffuse large b cell lymphoma,plasmablastic lymphoma
mammary analogue secretory carcinoma,mammary analogue secretory carcinoma
acne conglobata,acne conglobata
acne conglobatas,acne conglobata
"conglobata, acne",acne conglobata
"conglobatas, acne",acne conglobata
fused kidney,fused kidney
fused kidneys,fused kidney
"kidney, fused",fused kidney
"kidneys, fused",fused kidney
fusion of kidney,fused kidney
kidney fusion,fused kidney
kidney fusions,fused kidney
renal fusion,fused kidney
"fusion, renal",fused kidney
"fusions, renal",fused kidney
renal fusions,fused kidney
congenital fusion of kidneys,fused kidney
congenital lobulation of kidneys,fused kidney
lobulated kidney,fused kidney
"kidney, lobulated",fused kidney
"kidneys, lobulated",fused kidney
lobulated kidneys,fused kidney
lobulation of kidney,fused kidney
kidney lobulation,fused kidney
kidney lobulations,fused kidney
crossed fused ectopia,fused kidney
crossed fused ectopias,fused kidney
crossed fused ectopia of kidneys,fused kidney
cake kidney,fused kidney
cake kidneys,fused kidney
"kidney, cake",fused kidney
"kidneys, cake",fused kidney
pelvic cake kidney,fused kidney
pelvic cake kidneys,fused kidney
horseshoe kidney,fused kidney
horseshoe kidneys,fused kidney
"kidney, horseshoe",fused kidney
"kidneys, horseshoe",fused kidney
long term adverse effects,long term adverse effects
"adverse effects, long term",long term adverse effects
infectious encephalitis,infectious encephalitis
"encephalitis, infectious",infectious encephalitis
encephalitis infection,infectious encephalitis
encephalitis infections,infectious encephalitis
"infection, encephalitis",infectious encephalitis
"infections, encephalitis",infectious encephalitis
waterborne diseases,waterborne diseases
"disease, waterborne",waterborne diseases
"diseases, waterborne",waterborne diseases
waterborne disease,waterborne diseases
water-related diseases,waterborne diseases
"disease, water-related",waterborne diseases
"diseases, water-related",waterborne diseases
water related diseases,waterborne diseases
water-related disease,waterborne diseases
unilateral breast neoplasms,unilateral breast neoplasms
"breast neoplasm, unilateral",unilateral breast neoplasms
"breast neoplasms, unilateral",unilateral breast neoplasms
unilateral breast cancer,unilateral breast neoplasms
"breast cancer, unilateral",unilateral breast neoplasms
"breast cancers, unilateral",unilateral breast neoplasms
unilateral breast cancers,unilateral breast neoplasms
right-sided breast neoplasms,unilateral breast neoplasms
"breast neoplasm, right-sided",unilateral breast neoplasms
"breast neoplasms, right-sided",unilateral breast neoplasms
right sided breast neoplasms,unilateral breast neoplasms
right-sided breast neoplasm,unilateral breast neoplasms
right-sided breast cancer,unilateral breast neoplasms
"breast cancer, right-sided",unilateral breast neoplasms
"breast cancers, right-sided",unilateral breast neoplasms
right-sided breast cancers,unilateral breast neoplasms
right sided breast cancer,unilateral breast neoplasms
right sided breast neoplasm,unilateral breast neoplasms
left-sided breast neoplasms,unilateral breast neoplasms
"breast neoplasm, left-sided",unilateral breast neoplasms
"breast neoplasms, left-sided",unilateral breast neoplasms
left-sided breast neoplasm,unilateral breast neoplasms
left sided breast neoplasm,unilateral breast neoplasms
left-sided breast cancer,unilateral breast neoplasms
"breast cancer, left-sided",unilateral breast neoplasms
"breast cancers, left-sided",unilateral breast neoplasms
left-sided breast cancers,unilateral breast neoplasms
left sided breast neoplasms,unilateral breast neoplasms
left sided breast cancer,unilateral breast neoplasms
degloving injuries,degloving injuries
degloving injury,degloving injuries
"injuries, degloving",degloving injuries
"injury, degloving",degloving injuries
skin avulsion,degloving injuries
"avulsion, skin",degloving injuries
"avulsions, skin",degloving injuries
skin avulsions,degloving injuries
degloving wounds,degloving injuries
degloving wound,degloving injuries
"wound, degloving",degloving injuries
"wounds, degloving",degloving injuries
skin avulsion injuries,degloving injuries
"avulsion injuries, skin",degloving injuries
"avulsion injury, skin",degloving injuries
"injuries, skin avulsion",degloving injuries
"injury, skin avulsion",degloving injuries
skin avulsion injury,degloving injuries
staghorn calculi,staghorn calculi
"calculi, staghorn",staghorn calculi
"calculus, staghorn",staghorn calculi
staghorn calculus,staghorn calculi
talipes,talipes
talipedes,talipes
talipes calcaneus,talipes
"calcaneus, talipes",talipes
talipes calcaneovarus,talipes
"calcaneovarus, talipes",talipes
talipes varus,talipes
"varus, talipes",talipes
talipes cavus,talipes cavus
high-arched foot,talipes cavus
high arched foot,talipes cavus
cavus deformity,talipes cavus
cavus deformities,talipes cavus
pes cavus,talipes cavus
cavus foot,talipes cavus
cavovarus foot deformity,talipes cavus
cavovarus foot deformities,talipes cavus
"foot deformities, cavovarus",talipes cavus
"foot deformity, cavovarus",talipes cavus
metatarsal valgus,metatarsal valgus
toeing out,metatarsal valgus
toeing outs,metatarsal valgus
out-toeing,metatarsal valgus
out toeing,metatarsal valgus
out-toeings,metatarsal valgus
metatarsus valgus,metatarsal valgus
metatarsus varus,metatarsus varus
"varus, metatarsus",metatarsus varus
toeing in,metatarsus varus
metatarsus adductus,metatarsus varus
"adductus, metatarsus",metatarsus varus
in-toeing,metatarsus varus
in toeing,metatarsus varus
pigeon toed,metatarsus varus
"toed, pigeon",metatarsus varus
pigeon-toed,metatarsus varus
metatarsal varus,metatarsus varus
"varus, metatarsal",metatarsus varus
metatarsus adductovarus,metatarsus varus
"adductovarus, metatarsus",metatarsus varus
anterior cruciate ligament injuries,anterior cruciate ligament injuries
acl injuries,anterior cruciate ligament injuries
acl injury,anterior cruciate ligament injuries
"injuries, acl",anterior cruciate ligament injuries
"injury, acl",anterior cruciate ligament injuries
anterior cruciate ligament injury,anterior cruciate ligament injuries
anterior cruciate ligament tear,anterior cruciate ligament injuries
acl tears,anterior cruciate ligament injuries
acl tear,anterior cruciate ligament injuries
"tear, acl",anterior cruciate ligament injuries
"tears, acl",anterior cruciate ligament injuries
anterior cruciate ligament tears,anterior cruciate ligament injuries
shoulder injuries,shoulder injuries
"injuries, shoulder",shoulder injuries
"injury, shoulder",shoulder injuries
shoulder injury,shoulder injuries
superior labrum from anterior to posterior injuries,shoulder injuries
slap tears,shoulder injuries
slap tear,shoulder injuries
"tear, slap",shoulder injuries
"tears, slap",shoulder injuries
tibial meniscus injuries,tibial meniscus injuries
"injuries, tibial meniscus",tibial meniscus injuries
"injury, tibial meniscus",tibial meniscus injuries
"meniscus injuries, tibial",tibial meniscus injuries
"meniscus injury, tibial",tibial meniscus injuries
tibial meniscus injury,tibial meniscus injuries
torn tibial meniscus,tibial meniscus injuries
"meniscus, torn tibial",tibial meniscus injuries
"tibial meniscus, torn",tibial meniscus injuries
flap tears,tibial meniscus injuries
flap tear,tibial meniscus injuries
"tears, flap",tibial meniscus injuries
tibial meniscus tears,tibial meniscus injuries
"meniscus tear, tibial",tibial meniscus injuries
"meniscus tears, tibial",tibial meniscus injuries
"tear, tibial meniscus",tibial meniscus injuries
"tears, tibial meniscus",tibial meniscus injuries
tibial meniscus tear,tibial meniscus injuries
bucket handle tears,tibial meniscus injuries
bucket handle tear,tibial meniscus injuries
coxa magna,coxa magna
coxa magnas,coxa magna
femoral head deformity,coxa magna
"deformities, femoral head",coxa magna
"deformity, femoral head",coxa magna
femoral head deformities,coxa magna
tarsal coalition,tarsal coalition
tarsal coalitions,tarsal coalition
tarsal synostosis,tarsal coalition
"synostoses, tarsal",tarsal coalition
"synostosis, tarsal",tarsal coalition
tarsal synostoses,tarsal coalition
morton neuroma,morton neuroma
"neuroma, morton",morton neuroma
morton's disease,morton neuroma
"disease, morton's",morton neuroma
morton disease,morton neuroma
mortons disease,morton neuroma
intermetatarsal neuroma,morton neuroma
intermetatarsal neuromas,morton neuroma
"neuroma, intermetatarsal",morton neuroma
"neuromas, intermetatarsal",morton neuroma
morton's neuralgia,morton neuroma
morton neuralgia,morton neuroma
mortons neuralgia,morton neuroma
"neuralgia, morton's",morton neuroma
morton's neuroma,morton neuroma
mortons neuroma,morton neuroma
"neuroma, morton's",morton neuroma
morton's metatarsalgia,morton neuroma
"metatarsalgia, morton's",morton neuroma
morton metatarsalgia,morton neuroma
mortons metatarsalgia,morton neuroma
"microtrauma, physical","microtrauma, physical"
"microtraumas, physical","microtrauma, physical"
physical microtrauma,"microtrauma, physical"
physical microtraumas,"microtrauma, physical"
"micro trauma, physical","microtrauma, physical"
"micro traumas, physical","microtrauma, physical"
physical micro trauma,"microtrauma, physical"
physical micro traumas,"microtrauma, physical"
"trauma, physical micro","microtrauma, physical"
"traumas, physical micro","microtrauma, physical"
brain contusion,brain contusion
brain contusions,brain contusion
"contusion, brain",brain contusion
"contusions, brain",brain contusion
contusio cerebri,brain contusion
cerebellar contusion,brain contusion
cerebellar contusions,brain contusion
"contusion, cerebellar",brain contusion
"contusions, cerebellar",brain contusion
cerebral contusion,brain contusion
cerebral contusions,brain contusion
"contusion, cerebral",brain contusion
"contusions, cerebral",brain contusion
cortical contusion,brain contusion
"contusion, cortical",brain contusion
"contusions, cortical",brain contusion
cortical contusions,brain contusion
"brain injuries, diffuse","brain injuries, diffuse"
diffuse cerebral injuries,"brain injuries, diffuse"
"cerebral injuries, diffuse","brain injuries, diffuse"
"cerebral injury, diffuse","brain injuries, diffuse"
diffuse cerebral injury,"brain injuries, diffuse"
diffuse brain injury,"brain injuries, diffuse"
"brain injury, diffuse","brain injuries, diffuse"
diffuse brain injuries,"brain injuries, diffuse"
diffuse axonal brain injury,"brain injuries, diffuse"
chronic traumatic encephalopathy,chronic traumatic encephalopathy
chronic post-traumatic encephalopathy,chronic traumatic encephalopathy
chronic post traumatic encephalopathy,chronic traumatic encephalopathy
chronic post-traumatic encephalopathies,chronic traumatic encephalopathy
"traumatic encephalopathy, chronic",chronic traumatic encephalopathy
"encephalopathy, post-traumatic, chronic",chronic traumatic encephalopathy
"encephalopathy, post-traumatic",chronic traumatic encephalopathy
"encephalopathies, post-traumatic",chronic traumatic encephalopathy
"encephalopathy, post traumatic",chronic traumatic encephalopathy
post-traumatic encephalopathies,chronic traumatic encephalopathy
post-traumatic encephalopathy,chronic traumatic encephalopathy
post traumatic encephalopathy,chronic traumatic encephalopathy
"encephalopathy, post-concussive",chronic traumatic encephalopathy
"encephalopathies, post-concussive",chronic traumatic encephalopathy
"encephalopathy, post concussive",chronic traumatic encephalopathy
post-concussive encephalopathies,chronic traumatic encephalopathy
post-concussive encephalopathy,chronic traumatic encephalopathy
post concussive encephalopathy,chronic traumatic encephalopathy
"chronic encephalopathy, post-concussive",chronic traumatic encephalopathy
"chronic encephalopathies, post-concussive",chronic traumatic encephalopathy
"chronic encephalopathy, post concussive",chronic traumatic encephalopathy
post-concussive chronic encephalopathies,chronic traumatic encephalopathy
post-concussive chronic encephalopathy,chronic traumatic encephalopathy
chronic post-concussive encephalopathy,chronic traumatic encephalopathy
chronic post concussive encephalopathy,chronic traumatic encephalopathy
chronic post-concussive encephalopathies,chronic traumatic encephalopathy
"diastasis, muscle","diastasis, muscle"
muscle diastasis,"diastasis, muscle"
"diastases, muscle","diastasis, muscle"
muscle diastases,"diastasis, muscle"
myodiastasis,"diastasis, muscle"
myodiastases,"diastasis, muscle"
"diastasis, bone","diastasis, bone"
bone diastases,"diastasis, bone"
bone diastasis,"diastasis, bone"
"diastases, bone","diastasis, bone"
rotator cuff injuries,rotator cuff injuries
"cuff injury, rotator",rotator cuff injuries
"injury, rotator cuff",rotator cuff injuries
rotator cuff injury,rotator cuff injuries
rotator cuff tears,rotator cuff injuries
rotator cuff tear,rotator cuff injuries
"tear, rotator cuff",rotator cuff injuries
"tears, rotator cuff",rotator cuff injuries
rotator cuff tendinosis,rotator cuff injuries
rotator cuff tendinoses,rotator cuff injuries
"tendinoses, rotator cuff",rotator cuff injuries
"tendinosis, rotator cuff",rotator cuff injuries
rotator cuff tendinitis,rotator cuff injuries
rotator cuff tendinitides,rotator cuff injuries
"tendinitis, rotator cuff",rotator cuff injuries
glenoid labral tears,rotator cuff injuries
glenoid labral tear,rotator cuff injuries
"labral tear, glenoid",rotator cuff injuries
"labral tears, glenoid",rotator cuff injuries
"tear, glenoid labral",rotator cuff injuries
elbow tendinopathy,elbow tendinopathy
elbow tendinopathies,elbow tendinopathy
"tendinopathies, elbow",elbow tendinopathy
"tendinopathy, elbow",elbow tendinopathy
medial epicondylitis,elbow tendinopathy
"epicondylitides, medial",elbow tendinopathy
"epicondylitis, medial",elbow tendinopathy
medial epicondylitides,elbow tendinopathy
golfer's elbow,elbow tendinopathy
golfers elbow,elbow tendinopathy
"brain injuries, traumatic","brain injuries, traumatic"
"brain injury, traumatic","brain injuries, traumatic"
traumatic brain injuries,"brain injuries, traumatic"
"trauma, brain","brain injuries, traumatic"
brain trauma,"brain injuries, traumatic"
brain traumas,"brain injuries, traumatic"
"traumas, brain","brain injuries, traumatic"
tbi (traumatic brain injury),"brain injuries, traumatic"
"encephalopathy, traumatic","brain injuries, traumatic"
"encephalopathies, traumatic","brain injuries, traumatic"
traumatic encephalopathies,"brain injuries, traumatic"
"injury, brain, traumatic","brain injuries, traumatic"
traumatic encephalopathy,"brain injuries, traumatic"
tbis (traumatic brain injuries),"brain injuries, traumatic"
tbi (traumatic brain injuries),"brain injuries, traumatic"
traumatic brain injury,"brain injuries, traumatic"
rotator cuff tear arthropathy,rotator cuff tear arthropathy
milwaukee shoulder,rotator cuff tear arthropathy
"shoulder, milwaukee",rotator cuff tear arthropathy
milwaukee shoulder syndrome,rotator cuff tear arthropathy
cuff tear arthropathy,rotator cuff tear arthropathy
"arthropathy, cuff tear",rotator cuff tear arthropathy
crystal arthropathies,crystal arthropathies
"arthropathies, crystal",crystal arthropathies
"arthropathy, crystal",crystal arthropathies
crystal arthropathy,crystal arthropathies
crystal arthritis,crystal arthropathies
"arthritides, crystal",crystal arthropathies
"arthritis, crystal",crystal arthropathies
crystal arthritides,crystal arthropathies
crystalline arthritis,crystal arthropathies
"arthritides, crystalline",crystal arthropathies
"arthritis, crystalline",crystal arthropathies
crystalline arthritides,crystal arthropathies
crystalline arthropathies,crystal arthropathies
"arthropathies, crystalline",crystal arthropathies
"arthropathy, crystalline",crystal arthropathies
crystalline arthropathy,crystal arthropathies
enthesopathy,enthesopathy
enthesopathies,enthesopathy
giant cell tumor of tendon sheath,giant cell tumor of tendon sheath
tenosynovial giant cell tumor,giant cell tumor of tendon sheath
fibrous histiocytoma of tendon sheath,giant cell tumor of tendon sheath
localized giant cell tumor of the tendon sheath,giant cell tumor of tendon sheath
localized nodular tenosynovitis,giant cell tumor of tendon sheath
localized nodular tenosynovitides,giant cell tumor of tendon sheath
"nodular tenosynovitides, localized",giant cell tumor of tendon sheath
"nodular tenosynovitis, localized",giant cell tumor of tendon sheath
"tenosynovitides, localized nodular",giant cell tumor of tendon sheath
"tenosynovitis, localized nodular",giant cell tumor of tendon sheath
localized pigmented villonodular synovitis,giant cell tumor of tendon sheath
nodular tenosynovitis,giant cell tumor of tendon sheath
nodular tenosynovitides,giant cell tumor of tendon sheath
"tenosynovitides, nodular",giant cell tumor of tendon sheath
"tenosynovitis, nodular",giant cell tumor of tendon sheath
bankart lesions,bankart lesions
"lesions, bankart",bankart lesions
bankart tears,bankart lesions
"tears, bankart",bankart lesions
bankart lesion,bankart lesions
"lesion, bankart",bankart lesions
hill-sachs lesion,bankart lesions
hill sachs lesion,bankart lesions
